Year,Type,Title,Date,Role,Location,Link
2025,Meetup,3º Meetup Cloud Native RN,Apr 2024,Organizer,"3° Meetup Cloud Native RN @ Sebrae, Natal/RN - Brazil",https://community.cncf.io/events/details/cncf-cloud-native-rio-grande-do-norte-presents-3o-meetup-cloud-native-rn/
2025,Talk,Lessons learned and the future of OpenTelemetry PT-BR localization,Mar 2025,"Speaker ft. Ezzio Moreira","Kubernetes Community Days (KCD) @ Rio de Janeiro - Brazil",
2025,Talk,Testing multiple python versions with Tox,Mar 2025,Speaker,"20º Meetup GruPy RN @ Natal/RN - Brazil",
2024,Meetup,Kubernetes Community Days Floripa Brazil 2024,Dec 2024,Organizer,"KCD Floripa Brazil 2024 @ Sapiens Parque, Florianópolis/SC - Brazil",https://community.cncf.io/events/details/cncf-kcd-brasil-presents-kcd-floripa-brasil-2024/
2024,Meetup,DevOps Days Natal 2024,Nov 2024,Organizer,"DevOpsDays Natal 2024 @ Sebrae, Natal/RN - Brazil",https://devopsdays.org/events/2024-natal/contact/
2024,Meetup,2º Meetup Cloud Native RN,Oct 2024,Organizer,"2° Meetup Cloud Native RN @ IFRN, Natal/RN - Brazil",https://community.cncf.io/events/details/cncf-cloud-native-rio-grande-do-norte-presents-1deg-meetup-online-carreira-e-desafios-na-area-devops-feat-carlos-bezerra/
2024,Meetup,Meetup Online Cloud Native RN,Oct 2024,Organizer,Carreira e Desafios na Área DevOps - Feat. Carlos Bezerra (online),https://community.cncf.io/events/details/cncf-cloud-native-rio-grande-do-norte-presents-1deg-meetup-online-carreira-e-desafios-na-area-devops-feat-carlos-bezerra/
2024,Talk,Cloud Native Observability on Kubernetes,Oct 2024,"Speaker ft. Edson Célio","Tutorial on XIV ENCOM @ IFRN, Natal/RN - Brazil",
2024,Committee,TPC Member @ XIV ENCOM,Oct 2024,TPC Member,"XIV ENCOM @ IFRN, Natal/RN - Brazil",https://encom.ifrn.edu.br/organizacao/
2024,Talk,How to start contributing with CNCF Projects,Sept 2024,Speaker,"Go! RN, Natal/RN - Brazil",
2024,Talk,Kubernetes Certifications: The path to Kubestronaut,Jul 2024,Speaker,4º Meetup - Cloud Native SC (online),https://www.linkedin.com/posts/cncfsc_kubernetes-k8s-kubestronaut-activity-7219421316708261888-kMT1
2024,Talk,Observability: opentelemetry-python,Jul 2024,Speaker,"18º Meetup GruPy RN @ Sebrae, Natal/RN - Brazil",https://www.instagram.com/p/C8M79nEu-BI/?igsh=b25jaG1ubmZkdDV5
2024,Meetup,KuberTENes Birthday Bash RN,Jun 2024,Organizer,"KuberTENes Birthday Bash RN @ Natal/RN - Brazil",https://community.cncf.io/events/details/cncf-cloud-native-rio-grande-do-norte-presents-kubertenes-birthday-bash-rn/
2024,Talk,Introduction to Cloud Native and Chapter Presentation,May 2024,Speaker,"1º Meetup Cloud Native RN @ Sebrae, Natal/RN - Brazil",https://community.cncf.io/events/details/cncf-cloud-native-rio-grande-do-norte-presents-1o-meetup-cloud-native-rn/
